Date,Close,High,Low
01/01/1999,1.1729,1.1729,1.1729
04/01/1999,1.1825,1.1885,1.174
05/01/1999,1.1776,1.1835,1.1747
06/01/1999,1.16,1.1775,1.1555
07/01/1999,1.1713,1.1735,1.161
08/01/1999,1.1595,1.1735,1.154
11/01/1999,1.1491,1.1605,1.1487
12/01/1999,1.1551,1.1565,1.1445
13/01/1999,1.1653,1.179,1.155
14/01/1999,1.1709,1.1725,1.1615
15/01/1999,1.159,1.175,1.1566
18/01/1999,1.1605,1.162,1.156
19/01/1999,1.161,1.164,1.1565
20/01/1999,1.1553,1.1615,1.1542
21/01/1999,1.16,1.1612,1.1545
22/01/1999,1.1587,1.1625,1.156
25/01/1999,1.1555,1.161,1.1554
26/01/1999,1.1561,1.159,1.155
27/01/1999,1.1432,1.1565,1.1403
28/01/1999,1.1421,1.147,1.138
29/01/1999,1.1367,1.143,1.1346
01/02/1999,1.1312,1.139,1.1289
02/02/1999,1.1348,1.1365,1.1285
03/02/1999,1.1319,1.1356,1.13
04/02/1999,1.1335,1.1345,1.125
05/02/1999,1.1265,1.137,1.1254
08/02/1999,1.1325,1.1327,1.122
09/02/1999,1.1289,1.1345,1.1281
10/02/1999,1.1345,1.136,1.127
11/02/1999,1.1233,1.1335,1.1222
12/02/1999,1.128,1.1287,1.1215
15/02/1999,1.123,1.1305,1.1223
16/02/1999,1.1201,1.1235,1.1164
17/02/1999,1.1237,1.1265,1.1205
18/02/1999,1.1203,1.128,1.119
19/02/1999,1.1063,1.121,1.106
22/02/1999,1.1036,1.107,1.0965
23/02/1999,1.1005,1.107,1.0944
24/02/1999,1.0986,1.1045,1.0925
25/02/1999,1.1044,1.1076,1.0985
26/02/1999,1.1016,1.1045,1.0955
01/03/1999,1.0886,1.102,1.0884
02/03/1999,1.0918,1.0938,1.086
03/03/1999,1.0889,1.0945,1.0881
04/03/1999,1.082,1.088,1.0792
05/03/1999,1.0826,1.0862,1.079
08/03/1999,1.0883,1.092,1.08
09/03/1999,1.0889,1.092,1.086
10/03/1999,1.0952,1.0975,1.0875
11/03/1999,1.1032,1.1063,1.08
12/03/1999,1.0904,1.104,1.0892
15/03/1999,1.0937,1.0957,1.0885
16/03/1999,1.1,1.1007,1.0815
17/03/1999,1.1004,1.1044,1.094
18/03/1999,1.0971,1.1065,1.0965
19/03/1999,1.0886,1.11,1.0882
22/03/1999,1.0915,1.0918,1.085
23/03/1999,1.091,1.0926,1.0865
24/03/1999,1.0892,1.0964,1.0875
25/03/1999,1.0906,1.091,1.083
26/03/1999,1.0767,1.0865,1.0714
29/03/1999,1.0739,1.079,1.068
30/03/1999,1.0717,1.0775,1.0698
31/03/1999,1.0757,1.0824,1.069
01/04/1999,1.0789,1.082,1.0725
02/04/1999,1.0782,1.0805,1.0765
05/04/1999,1.0711,1.0785,1.0702
06/04/1999,1.0842,1.0858,1.0705
07/04/1999,1.0774,1.0845,1.0768
08/04/1999,1.0744,1.088,1.0728
09/04/1999,1.0802,1.0813,1.0725
12/04/1999,1.0823,1.0878,1.0815
13/04/1999,1.0769,1.083,1.0745
14/04/1999,1.0797,1.082,1.0765
15/04/1999,1.0703,1.0815,1.0691
16/04/1999,1.07,1.0717,1.063
19/04/1999,1.0633,1.07,1.0594
20/04/1999,1.0627,1.0685,1.0611
21/04/1999,1.0619,1.0635,1.0575
22/04/1999,1.0616,1.066,1.0561
23/04/1999,1.0612,1.0685,1.0596
26/04/1999,1.0586,1.063,1.0579
27/04/1999,1.0665,1.0668,1.058
28/04/1999,1.0623,1.0695,1.0606
29/04/1999,1.0591,1.064,1.057
30/04/1999,1.0584,1.0635,1.0549
03/05/1999,1.0577,1.0605,1.0553
04/05/1999,1.0633,1.0635,1.056
05/05/1999,1.0744,1.0773,1.0615
06/05/1999,1.0815,1.0825,1.0735
07/05/1999,1.075,1.0814,1.0743
10/05/1999,1.08,1.0836,1.071
11/05/1999,1.0715,1.0805,1.0705
12/05/1999,1.0649,1.0747,1.064
13/05/1999,1.0666,1.0675,1.0605
