Date,Close,High,Low
01/01/1999,1.6604,1.6604,1.6604
04/01/1999,1.656,1.6715,1.6545
05/01/1999,1.6547,1.66,1.653
06/01/1999,1.6544,1.6555,1.649
07/01/1999,1.6506,1.6575,1.6468
08/01/1999,1.6445,1.652,1.6357
11/01/1999,1.6299,1.644,1.6295
12/01/1999,1.6305,1.6336,1.6235
13/01/1999,1.6478,1.6602,1.6325
14/01/1999,1.6568,1.658,1.6495
15/01/1999,1.6519,1.6645,1.6493
18/01/1999,1.653,1.656,1.649
19/01/1999,1.655,1.6622,1.648
20/01/1999,1.6452,1.6565,1.6446
21/01/1999,1.6525,1.6559,1.642
22/01/1999,1.6543,1.657,1.65
25/01/1999,1.6568,1.6609,1.6545
26/01/1999,1.6592,1.6625,1.657
27/01/1999,1.6445,1.6595,1.6437
28/01/1999,1.65,1.6505,1.6445
29/01/1999,1.6467,1.6495,1.6417
01/02/1999,1.6418,1.648,1.6382
02/02/1999,1.6395,1.6495,1.6377
03/02/1999,1.6363,1.6397,1.633
04/02/1999,1.6451,1.6453,1.6305
05/02/1999,1.6322,1.646,1.631
08/02/1999,1.6395,1.6415,1.6289
09/02/1999,1.6356,1.641,1.6326
10/02/1999,1.6296,1.638,1.6288
11/02/1999,1.6218,1.628,1.619
12/02/1999,1.6312,1.6322,1.621
15/02/1999,1.626,1.633,1.626
16/02/1999,1.6338,1.635,1.6235
17/02/1999,1.6348,1.6396,1.632
18/02/1999,1.6353,1.6385,1.6321
19/02/1999,1.6215,1.639,1.6203
22/02/1999,1.6262,1.627,1.6175
23/02/1999,1.6132,1.6265,1.6096
24/02/1999,1.5961,1.616,1.5946
25/02/1999,1.6039,1.6071,1.597
26/02/1999,1.6016,1.6065,1.5972
01/03/1999,1.6088,1.6122,1.5955
02/03/1999,1.6141,1.6163,1.605
03/03/1999,1.6131,1.622,1.6117
04/03/1999,1.6105,1.6135,1.6053
05/03/1999,1.6062,1.6105,1.6048
08/03/1999,1.6077,1.6111,1.601
09/03/1999,1.6184,1.62,1.6065
10/03/1999,1.6268,1.6294,1.616
11/03/1999,1.6363,1.6435,1.622
12/03/1999,1.6305,1.638,1.6285
15/03/1999,1.6227,1.6305,1.619
16/03/1999,1.629,1.6304,1.618
17/03/1999,1.6303,1.6329,1.624
18/03/1999,1.6295,1.6325,1.6265
19/03/1999,1.6281,1.6311,1.6263
22/03/1999,1.6283,1.6299,1.6253
23/03/1999,1.638,1.6394,1.622
24/03/1999,1.6356,1.6476,1.634
25/03/1999,1.6237,1.6385,1.6219
26/03/1999,1.6233,1.6265,1.6173
29/03/1999,1.6165,1.6235,1.6123
30/03/1999,1.6123,1.6185,1.6111
31/03/1999,1.6116,1.6166,1.607
01/04/1999,1.6034,1.6135,1.6008
02/04/1999,1.6035,1.605,1.6025
05/04/1999,1.6001,1.6065,1.5985
06/04/1999,1.591,1.603,1.5845
07/04/1999,1.5951,1.5987,1.587
08/04/1999,1.6048,1.6122,1.5955
09/04/1999,1.6091,1.6105,1.6015
12/04/1999,1.6136,1.619,1.6082
13/04/1999,1.6157,1.6165,1.6115
14/04/1999,1.6109,1.6213,1.6105
15/04/1999,1.6095,1.6163,1.6077
16/04/1999,1.6135,1.6155,1.6035
19/04/1999,1.6104,1.623,1.6056
20/04/1999,1.6098,1.6198,1.6088
21/04/1999,1.6066,1.613,1.604
22/04/1999,1.6144,1.6165,1.604
23/04/1999,1.6145,1.62,1.613
26/04/1999,1.6121,1.618,1.6103
27/04/1999,1.619,1.6196,1.609
28/04/1999,1.6135,1.6222,1.6131
29/04/1999,1.6081,1.6175,1.6069
30/04/1999,1.6093,1.6133,1.6069
03/05/1999,1.6093,1.6125,1.6059
