Date,Close,High,Low
01/01/1999,113.63,113.63,113.63
04/01/1999,112.04,113.98,111.57
05/01/1999,111.17,112.4,110.5
06/01/1999,113.01,113.48,111.5
07/01/1999,110.94,113,109.8
08/01/1999,110.89,112.1,110.55
11/01/1999,108.61,111,108.2
12/01/1999,112.48,112.8,108.7
13/01/1999,113.15,114.13,111.15
14/01/1999,113.43,114.43,112.8
15/01/1999,113.99,114.24,112.3
18/01/1999,114.2,115,113.3
19/01/1999,113.5,114.9,113.41
20/01/1999,112.86,114.07,112.81
21/01/1999,113.64,114.56,112.35
22/01/1999,114.67,114.78,113.6
25/01/1999,113.94,114.8,113.57
26/01/1999,113.95,114.3,113.3
27/01/1999,115.72,116.13,113.45
28/01/1999,116.39,116.84,115.2
29/01/1999,116.4,116.52,115.72
01/02/1999,115.07,115.95,114.96
02/02/1999,112.05,115.15,111.91
03/02/1999,112.83,113.01,111.75
04/02/1999,112.35,114,111.55
05/02/1999,113.22,113.72,111.35
08/02/1999,114.51,114.94,112.75
09/02/1999,114.38,114.9,114.05
10/02/1999,114.31,115.5,113.75
11/02/1999,114.58,114.82,113.6
12/02/1999,114.49,115.75,113.87
15/02/1999,115.45,115.9,113.8
16/02/1999,118.78,118.92,115.65
17/02/1999,119.1,119.22,118
18/02/1999,119.82,120.15,118.35
19/02/1999,121.08,121.16,119.4
22/02/1999,120.87,122.5,120.09
23/02/1999,120.91,121.91,119.85
24/02/1999,121.76,122.06,120.55
25/02/1999,119.64,120.8,119
26/02/1999,119.05,121.05,118.5
01/03/1999,119.74,119.94,118.9
02/03/1999,120.35,120.89,119.7
03/03/1999,121.76,121.89,120
04/03/1999,123.31,123.76,121.75
05/03/1999,122.63,123.55,122.04
08/03/1999,121.66,123.15,121.1
09/03/1999,120.91,122.05,120.65
10/03/1999,119.91,121.3,119.56
11/03/1999,119.32,120.95,118.56
12/03/1999,118.81,120.35,118.78
15/03/1999,117.7,119.4,117.34
16/03/1999,117.71,118.45,117.3
17/03/1999,118.01,119.15,117.2
18/03/1999,117.43,118.75,117.27
19/03/1999,117.23,117.75,116.9
22/03/1999,118.08,118.46,116.95
23/03/1999,118,118.75,117.79
24/03/1999,117.96,118.5,117.09
25/03/1999,118.09,118.35,117.75
26/03/1999,120.25,120.55,118
29/03/1999,120.12,120.55,119.62
30/03/1999,120.3,120.7,119.85
31/03/1999,119.01,120.9,118.13
01/04/1999,120.48,120.65,118.45
02/04/1999,120.43,120.8,120.35
05/04/1999,121.82,122.06,120.4
06/04/1999,120.72,121.8,120.63
07/04/1999,121.33,121.62,120.4
08/04/1999,121.39,121.55,120.34
09/04/1999,120.91,121.5,120.75
12/04/1999,120.18,120.9,119.76
13/04/1999,119.8,120.8,119.79
14/04/1999,118.62,119.9,118.57
15/04/1999,118.79,119.49,118.35
16/04/1999,117.75,119.15,117.45
19/04/1999,117.57,118.5,117.5
20/04/1999,118.85,118.99,117.53
21/04/1999,119.73,119.93,118.55
22/04/1999,119.5,120.4,119.41
23/04/1999,119.37,119.8,119.13
26/04/1999,119.27,119.58,118.7
